date,IGAE,ActividadIndustrial,FBCF
2015-06-01,94.2951874633,98.3463970934,100.7963723726
2015-07-01,95.0210850531,99.4305469272,102.7063168875
2015-08-01,94.9778326017,99.7675603276,102.2034849678
2015-09-01,96.4307257028,101.8532617918,103.3277058608
2015-10-01,95.2382568486,99.7332932312,99.7363585712
2015-11-01,94.6137408545,99.0028797112,100.9791678701
2015-12-01,94.8918389625,99.4619347011,98.6882798614
2016-01-01,95.0572442889,99.3948958657,99.4387889964
2016-02-01,95.5508604072,99.5197825318,101.3048689729
2016-03-01,95.0957950302,98.7536682048,99.7026879783
2016-04-01,95.1868157383,98.7004809173,99.8123912487
2016-05-01,95.5218207985,98.9679101144,98.6950309227
2016-06-01,95.9257038441,98.6790040828,99.2799756324
2016-07-01,95.8317719855,98.6929642033,97.5043019198
2016-08-01,96.1398469655,98.7913198348,100.7256839439
2016-09-01,96.7553160227,99.1500109379,100.47351045
2016-10-01,97.0003590631,99.101706216,101.7548287738
2016-11-01,97.2423081007,100.245215314,103.1315443533
2016-12-01,97.7174279758,99.9369988088,102.8318041586
2017-01-01,98.0066738913,100.6471041897,100.8876721402
2017-02-01,97.5461597747,100.1940154004,99.4654318531
2017-03-01,97.8738131602,100.8881885956,100.4339102413
2017-04-01,97.8487406093,99.7891863698,97.285169884
2017-05-01,97.6480260137,99.8309821123,99.639794625
2017-06-01,98.1556757186,99.9062642183,100.482518839
2017-07-01,97.2939698084,99.1230093998,99.1794116497
2017-08-01,98.3327560993,99.7282104003,100.1018571265
2017-09-01,97.1532798143,98.7482198127,99.9738346348
2017-10-01,98.4680564941,99.8647855388,99.4851001508
2017-11-01,99.2000086434,100.0303941832,99.4975463466
2017-12-01,99.8332098205,100.735973371,102.6613916298
2018-01-01,99.1312891102,99.8424486988,100.4305969915
2018-02-01,99.6457225971,100.2705558756,101.5566734335
2018-03-01,100.3315240405,100.3259043561,102.0175477957
2018-04-01,99.4313624565,98.9801818207,100.1514639682
2018-05-01,100.1819870335,100.6705364535,102.2551042255
2018-06-01,99.9358612833,100.4915436127,101.8843598094
2018-07-01,100.2952775154,100.8106900275,102.555314774
2018-08-01,100.5818205185,99.9776136131,98.7288986303
2018-09-01,100.6798616636,101.0765818853,101.6952357409
2018-10-01,100.5638047325,100.169242508,102.0134588874
2018-11-01,100.0467238636,99.1813754499,95.9353111454
2018-12-01,99.6473514847,98.9232478926,94.7566617949
2019-01-01,100.1486006554,99.0795619233,99.1855939655
2019-02-01,100.3970986648,99.5605515913,98.4306419404
2019-03-01,99.2262060644,98.3370624159,96.7212622754
2019-04-01,99.6622257349,99.3389293454,98.0086909857
2019-05-01,99.2457114498,98.4243607652,95.0400591617
2019-06-01,99.7462827884,99.4000479492,95.4981600971
2019-07-01,99.5373238516,98.8060108235,94.3681245613
2019-08-01,99.6428023874,98.635231793,94.9439114232
2019-09-01,100.0752867205,98.5538544207,93.8050396177
2019-10-01,99.0597010645,96.5156172504,94.0729695278
2019-11-01,99.2629286063,96.9231444671,94.4305431366
2019-12-01,99.0882278115,96.16023779,92.7468044463
2020-01-01,99.9208770073,97.3179710875,91.9200225901
2020-02-01,98.9136143493,96.7590259612,89.4961939868
2020-03-01,95.6661572709,93.5627522286,86.8447171803
2020-04-01,77.612495424,69.8628698378,60.7569708517
2020-05-01,76.1644251365,69.7710212007,59.8672790183
2020-06-01,85.1938817545,84.8887208244,72.9874859918
2020-07-01,89.5084678823,88.6182809096,74.8803496416
2020-08-01,92.1359500157,91.9834641392,77.5254640101
2020-09-01,94.6348197517,94.2697387829,79.7792261154
2020-10-01,95.6426662572,95.4931955127,80.584233566
2020-11-01,96.3823855895,95.8663349428,85.6029256275
2020-12-01,96.0988822948,95.4089773421,82.803233687
2021-01-01,96.15075696,94.6586419253,83.6698718173
2021-02-01,95.5327519833,93.658819303,85.7729182271
2021-03-01,97.434063884,95.7884445413,87.507791008
2021-04-01,97.2491482597,95.6077726751,87.4678358323
2021-05-01,97.2534146201,95.0949838745,86.929928245
2021-06-01,97.0903103099,94.9276275765,84.1350743711
2021-07-01,96.7474468319,95.1300939768,87.0964294975
2021-08-01,96.0258972809,95.4820416822,88.330199301
2021-09-01,95.7989527016,94.4612128484,87.7779156547
